reviewtext,summary,rating,asin
"I love these shoes! I have plantar fasciitis and Achilles tendinitis and haven't been able to find anything to make my feet not hurt but these shoes are amazing, within two days of wearing them I have hardly any pain! Would recommend these to anyone with foot pain. They aren't hard to get used to and the arch isn't too high like others have reviewed.",Amazing results with these!!,5.0,B00004VWJ3
Tought to fit for people with high instep.,Three Stars,3.0,B00004VWJ3
"I had to order a size down, I'm usually an 8 1/2 or 9.  These are my go-to shoes now. I wouldn't wear them for a lot of walking as the top part can cut into the top of my foot, but they are very comfortable for driving.",but they are very comfortable for driving,4.0,B00004VWJ3
No good,One Star,1.0,B00004VWJ3
Love this shoe!  So comfortable!,Great Shoe!!,5.0,B00004VWJ3
That they are wide and sturdy,Five Stars,5.0,B00004VWJ3
Bought for my daughter who works in a clinic all day on her feet. She loves them!!!,Five Stars,5.0,B00004VWJ3
"We take off our shoes in the house, but have 4 dogs that need to be taken out regularly. Always stepping into and out of shoes at the door with a handful of leashes. Now its super easy - just step in an go, and then step out.","Look ma, no hands",5.0,B00004VWJ3
"I have multiple pairs of Birkies, all the same size.  This pair was far too large, although it was marked as the same size as all my others.  I gave them four stars because, except for the size, they were as good as all the Birkies I have.",they were as good as all the Birkies I have,4.0,B00004VWJ3
Shoes are too small. I would like to return in exchange for a pair the next size up.,I would like to return in exchange for a pair the next ...,3.0,B00004VWJ3
"Good, as always",Five Stars,5.0,B00004VWJ3
"I am an 8.5 in women and on the size chart it suggests 39 UK, however that was too large, and so I exchanged for 38 instead and it first perfectly. like any birkenstock, it does take a while to break the shoe in. But once you do these shoes are perfect - especially for someone who works in the hospital setting",Great work shoe,4.0,B00004VWJ3
I have wide feet and so they are a bit snug around the arches but not uncomfortable.,Four Stars,4.0,B00004VWJ3
Very comfortables shoes overall but they recommended I get a size 4 (I'm normally a women's size 6) and they were still a smidge big. I use Dr. Scholl inserts for high arches to make up for the difference while I'm running around at work but I wear these shoes without the inserts everywhere else and they're super comfortable.,Highly recomend for restaurant employees,4.0,B00004VWJ3
Good. Damn. Clogs. I'd Buy them again but I Won't Have To.,Five Stars,5.0,B00004VWJ3
"The product looks good and sturdy!  HOWEVER, one has to have wooden feet (or feet made of steel) in order to feel comfortable while wearing these clogs!  There is NO cushioning inside the clogs and no flexibility whatsoever!  Even wearing a pair of heavy duty socks doesn't help much!",Clogs for Feet Made of Wood or Steel!,2.0,B00004VWJ3
i wear a size 40 in birkenstock's arizona sandals. i got these in size 41 and they fit fine.,"nice, but runs small",4.0,B00004VWJ3
Every single size 12 birkis has fit like a glove. This peticular style was way smaller than any other. Unable to use.,Size different,1.0,B00004VWJ3
"My last pair last me 13 years
Only had to replace the cork
Very happy with burkinstocks",... 13 years Only had to replace the cork Very happy with burkinstocks,5.0,B00004VWJ3
Excelent,Five Stars,5.0,B00004VWJ3
Ive had these pair in the past. Buy beware as the ones I received were fake Birkenstocks. These are definitely going back.,Fake Birkenstock,1.0,B00004VWJ3
"I had my first pair for 20 years, and wore them every day.  These will probably last the same amount of time.  They are my favorite shoes ever.  I LOVE them!",Simply the best.,5.0,B00004VWJ3
It fits just just as expected but I would like a more comfortable insoles,Five Stars,5.0,B00004VWJ3
awesome,Five Stars,5.0,B00004VWJ3
"Just like the others I ordered on here for work, completely and totally satisfied with the quality of product, the expedition of service, and the fit of this awesome shoe",Amazing as usual,5.0,B00004VWJ3
LOVE them! I have plantar fasciitis and I'm on my feet all day at work. These offer supreme support and quick recovery. I am very happy with my purchase and would highly recommend them to anyone with foot issues.,Awesome support,5.0,B00004VWJ3
"Not like the one I purchased before, it's more like narrow size, I want a regular size not narrow",Not like the one I purchased before,1.0,B00004VWJ3
great,Four Stars,4.0,B00004VWJ3
"They'll need some breakin, but they fit like all my other birks.",but they fit like all my other birks,4.0,B00004VWJ3
Grandma got these for her granddaughter.  They are wonderful and she loves them!!  She also has a black pair.,chucks,5.0,B000094VPP
Love these shoes.,Great shoes,5.0,B000094VPP
Daughter requested it for Christmas and she is satisfied and I am happy because she is picky.,Five Stars,5.0,B000094VPP
Highly recommend this seller and these amazing Chuck Taylor's! Shipping was super fast and the shoes were new and as described!,Excellent Buying Experience!,5.0,B000094VPP
"There Chucks there awesome,  always fit right and all I  ever wear!",Kicks,5.0,B000094VPP
Absolutely love these shoes.  No arch support or memory foam doo dads.  Just plain old shoes.  The only shoes that I can wear all day long.,Addicted to these things!!,5.0,B000094VPP
Super likes,Four Stars,4.0,B000094VPP
Bought these to replace my worn out ones....love them!,love them!,5.0,B000094VPP
Too big,One Star,1.0,B000094VPP
"I love my Converse! Just realize that Converse always run large. I usually wear a 7 1/2 to 8, but in Converse I order a 7. Love the Navy color! Cute summer sneaker.",Love them!!!,5.0,B000094VPP
Love all stars. Great fit.,Five Stars,5.0,B000094VPP
LOVE my Chuck's!!,Five Stars,5.0,B000094VPP
Exactly what I expected! Fast shipping!,Navy Converse,5.0,B000094VPP
"Chucks are always a favorite of mine, but the fit was just a little bigger than expected. They were a really nice blue.",Chucks are always a favorite of mine,5.0,B000094VPP
Love these!!!,Five Stars,5.0,B000094VPP
"What can I say, they are All Stars Chuck Taylors.  They've been around forever and with good reason.  They are comfortable, look great especially when you keep the white leather clean.  These shoes are no different.  They can stand to have a little more support in them for all-day wear but perhaps a better sock or insert would help in that department.  Other than that, I have no complaints.  I'm female, but I ordered from the men's selections because of the availability in sizes and color.  Plus the men's style seemed to look a bit different...not as pointy in the front.  The size fit well and the color looks great as expected.  Overall, it's a great buy.",They're Chuck Taylors...What's Not to Like?,4.0,B000094VPP
"Loves my Chucks :) Forcthe record Converse Chuck Taylor's only come in Men size which can be unisex as women can order men's sneakers 2 sizes smaller than your normal size. Now with Chucks since wide and like no support at all women should probably order 2.5 sizes smaller than your normal size. However since no support if you are like me and use an insert then 2 size smaller should fit you just right. I'm normally a 7 in women's, ordered the 5 in men's which were a little big but after adding my insert they fit just right :) Loves these as I can wear with shorts, skirt, jeans or a dress. Light weight and very breathable make them the perfect summer shoe.",Perfect Summer Shoe,5.0,B000094VPP
"I normally wear between an 8/8.5 I followed the other posts, and ordered a size down 7.5.  When I first got them, I thought they were too big, so I also ordered a 7.  While they both fit, the top eyelet on the 7 seemed to rub on the top of my foot a bit more, so I kept the 7.5.  I've worn them several times since, and really enjoy them!",Order down :),4.0,B000094VPP
Classic low chucks! I loved these shoes. Had to return them due to them being too large as my originals size wore off the tag. Will order again from here just because of the convenience of not having to go to the store again.,Classics!,5.0,B000094VPP
"These are great shoes, but they ran a little big.",Three Stars,3.0,B000094VPP
"The size guide clearly shows that you are ordering in men's sizes.  I ordered a size 7B(M).  That is a size & in MEN'S.  That is a size 9 in women's .  What I received was a size 5 men's which is a size 7 in women's.  I find that to be the biggest pain in the butt.  It is hard enough to order Converse.  Amazon vendors don't make it any easier.  Some vendor sizes say men's sizes but the verbiage says stuff like, ""These are really women's sizes- so order them in your regular size- but make sure they are 1/2 size smaller than usual!""  errrrgg..  Converse are worth the 1/2 size calculation and even the men's vs. the women's nonsense- but when the vendor simply puts the wrong sex on the sizing chart- THAT is unacceptable.  Now, I have a shoe that is two sizes too small.  And I have to return them.  Thank GOD I ordered them via PRIME membership or I would be paying $17 shipping.  Wouldn't that be a real winner?  Not happy.",Attention Amazon Vendors: Get the Converse Sex Right in Size Selection!,2.0,B000094VPP
"Purchased for my daughter, she loves them,",Shoes,5.0,B000094VPP
Love them!,Five Stars,5.0,B000094VPP
It was good!!!,Three Stars,3.0,B000094VPP
Perfect size,Five Stars,5.0,B000094VPP
Not made well. After wearing these for a month they started falling apart,Three Stars,3.0,B000094VPP
It's o.k.,Five Stars,5.0,B000094VPP
"These shoes have no arch support.  They have no real padding.  The sizing is weird.  I finally got to my right size by the help I got from other buyers who left reviews.  All in all...not the greatest shoes at all.  HOWEVER, they are just so darn cute!!!  And I'm not even sure WHY I think they're so cute...but they just do it for me.  Youthfulness, I suppose!  So, about the sizing...I sized down from my normal size 8 to a 7 and that was too tight.  I returned them.  Then I ordered a 7-1/2 from a different seller and they worked great.  They're fun to wear.",not the greatest shoes at all,4.0,B000094VPP
Very good.. They fitted  me perfectly!,nice!,5.0,B000094VPP
ok,Five Stars,5.0,B000094VPP
Worked well for the wedding but a little big but will still wear them. Makes me want to buy another pair.,A little big but still worked,3.0,B000094VPP
"Nothing - you should know what to expect, right?
So you just wanna get it in time and your're happy.
Therefore 5 stars",What can go wrong if you buy Converse Chuck?,5.0,B000094VPP
I have a lot of chuck taylor. I will say I do wear them a size smaller then my regular shoes. I wear a women's 8 normally,They are my fvorite,5.0,B000094VPP
A Classic sneaker that fits well and keeps your feet from slipping on wet surfaces. I really like these sneakers,A Classic,5.0,B000094VPP
love the converse line up and this is just another great addition at a great price.  i have these in various colors,Great shoes,5.0,B000094VPP
My daughter loves converse so the fact that it fit her witout us having to return or try on in the store was a plus - it arrived on time,Fit her well,5.0,B000094VPP
"Could not love them any more if I tried! Perfect fit, perfect color, perfect delivery. I especially loved being able to get a half size, which is often hard to do with Converse.",Yippee,5.0,B000094VPP
It is exactly as described on the post. I'm very pleased and I highly recommend the product if you like converse products of course,Amazing,5.0,B000094VPP
"This purchase was very good choice, since they are an excellent pair of shoes, very comfortable, a good choice for day to day. Additionally, the shipping and delivery was prompt and the product was in perfect condition.",Chuck Taylor,5.0,B000094VPP
I bought these shoes for my daughter and she loves them.  They were a very good price and I will probably buy more.,Great shoes,5.0,B000094VPP
"A little confusing because the site clearly says Mens / Women's but the emails from the store refers to kid sizes...so I was nervous about not getting the correct size but all worked out GREAT!!!!! I would definitely recommend!!""",Coverse /Chuck Taylor,5.0,B000094VPP
"This shoe has great support and is true to size.  Was a great deal considering what they are asking at a retail store.  Have worn them for over two weeks and have not had any problems.  Only drawback, for me, is I wish I had bought them in leather instead of suede. Great shoe",Fabulous Shoe,5.0,B00009ZM91
"I was searching for a shoe I could ""live in"".  I'm a stay-at-home mom and needed new ""work shoes"".  Transitioning from heels everyday to something I could take my daily 15 mile walks in.  These were the third pair I tried (others were all traditional running/walking shoes).  These are fabulous!  and My feet are oh so happy to be out of those heels!  :)",Fabulous shoes!,5.0,B00009ZM91
"Received the mocs FAST - had to exchange size, but it was very easy.  Got the replacement pair just as quickly.",good service,5.0,B00009ZM91
These are the very best for ease of use and comfort.  I bet I've gotten over a dozen people to wearing these already.  They may not be the prettiest style but they work.,Best Shoes For My Feet,5.0,B00009ZM91
"Great shoe for comfort and stability
Love it I just ordered my third pair",Five Stars,5.0,B00009ZM91
"Great shoes for work, travel, hiking, etc. Worn every day for outside work, general walking, traveling and casual dress. Merrell has become our favorite brand by far. Fit as expected. ( Last pair lasted years with everyday use in all kinds of outdoor conditions.",Great high quality shoe...,5.0,B00009ZM91
So far so good,Five Stars,5.0,B00009ZM91
"Perfect, just what I wanted.",Five Stars,5.0,B00009ZM91
I love these shoes.,I buy a new pair every year.,5.0,B00009ZM91
Great shoe!!!,Five Stars,5.0,B00009ZM91
Love them,Five Stars,5.0,B00009ZM91
The comfort of these shoes did not disappoint! I tend to have issues with shoes sliding up and down on my heel and I was hoping with the extra cushion in this area it wouldn't happen.  There is some sliding but not enough for me to send them back.,The comfort of these shoes did not disappoint! I tend to have issues with shoes sliding ...,4.0,B00009ZM91
"This is my third pair of these shoes; I now have them in 3 colors.  I think they are the best overall winter shoe -- comfortable, warm, dry, great traction and they really wear well over time.  I think my first pair is about 4 years old and they still look fine and are very supportive.",I think they are the best overall winter shoe -- comfortable,5.0,B00009ZM91
"These arrived a few hours before my flight to Sweden and I'm so glad they made it!! I had an older pair of men's that I've worn on other trips, so I knew they'd be convenient and relatively comfortable right out of the box, but the women's definitely fit my foot better. My foot would slosh around a bit in the men's, which caused me to wear thick socks, which caused my feet to sweat, which would cause blisters after a couple days. I wear between a 9.5 & 10 in women's, so reading the reviews, I got the 10. They were perfectly snug and, to my surprise, I chose to wear them almost every day of the trip instead of my snow boots. Not once did my feet get wet, nor did I get a single blister, nor did I fall on ice. And we walked a TON, with lots of ice and snow, for 7 days.",They arrived and they conquered!,5.0,B00009ZM91
WAY too small.... I'm returning them.,One Star,1.0,B00009ZM91
"Great shoe
Wish I had bought waterproof and not water resistant",Great shoe Wish I had bought waterproof and not water ...,5.0,B00009ZM91
"Fit great, very comfortable.",Five Stars,5.0,B00009ZM91
I finally got a new pair of Merrell's that feel almost as good as my first ones.  I was buying them too large and they just didn't feel good.,... a new pair of Merrell's that feel almost as good as my first ones,5.0,B00009ZM91
Always like my Merrell Jungle Mocs.,Five Stars,5.0,B00009ZM91
"The top of the shoe is too high up on the foot -- it chafes on my ankle and front of foot. Very uncomfortable! It may relax, since there's elastic, but I can't take the chance. I liked the older model with a lower profile on the foot. I will have to return this.",Too high and tight around the ankle and top of foot!,2.0,B00009ZM91
"I usually have really good luck w/Amazon- but when I opened the box, there was only One Black Merrell Jungle Mov and the other shoe was a white tennis shoe. I immediately requested a return and then had to re-order these as I really need them. Only shoes I can wear right now- recovering from broken ankle.",Shipment had 1 MerrellShoe & One Tennis Shoe,1.0,B00009ZM91
Too big for my feet but really nice shoe,Three Stars,3.0,B00009ZM91
"Love Merrells, my dog did chew a bit off these.. ugh!",Five Stars,5.0,B00009ZM91
Love my Mocs.  Extremely comfy.  Great fit.,Five Stars,5.0,B00009ZM91
"My go-to winter shoes. Warm, comfortable, go with most outfits. After about three or four years of constant wear, the soles will erode and the uppers will stretch out and I will happily replace them again.",winter essentials,5.0,B00009ZM91
I love this shoe and have 2 pairs in different colors.,Five Stars,5.0,B00009ZM91
Great shoes. Very comfortable. My second pair.,Great shoes,5.0,B00009ZM91
"Not a big fan; fits well, but very stiff.........I find their other styles much more to my liking",quite stiff,3.0,B00009ZM91
It really wasn't too small it was too narrow.,Four Stars,4.0,B00009ZM91
Love them for my plantar fascitis.  Only shoes that help.,Five Stars,5.0,B00009ZM91
GREATEST SHOES!!!  I feel like I'm walking on air.,Comfortable shoes. Great price.,5.0,B00009ZM91
"I work in a trauma hispital..and these are the only thing I will wear. I go through about 4-5 pairs a year due to all of the walking that I do. They protect my feet from blood and needle sticks! I dropped a needle one day and it just bounced off! Sometimes I think about trying another type os shoe...but I can not! These give the best support! I wear the shoe with a back just in case I have to run to a code ..I have tried the slip on Merrells..loved thrm but could not run in them. About every 4 months I vuy a new pair.. I can tell that I need new ones when my legs and feet hurt after a couple of hours ..I work 12 hour shifts.
Thanks Merrell!!!",Great support for a 12 hour shift,5.0,B00009ZM91
"I think I'm still breaking these in. I'm swapping them out every other day with my Merrell hiking shoes (like trainers or tennis shoes). The only thing I notice is that any sock that has a design on the bottom of it is uncomfortably noticeable in these shoes. In my hiking shoes, I don't feel the stitching at all, but in these, I feel everything, so I can only wear them with very smooth socks.
BONUS: These shoes are VERY QUIET! They don't clop or squeak when you walk around in them.
I'm a long time fan of Merrell shoes and I work on my feet 6 days a week.  Definitely a great brand with excellent products!",Very Comfortable (and Quiet) Shoe,5.0,B00009ZM91
Exactly the quality I expect from Merrell. Perfect fit; great support.,A+,5.0,B00009ZM91
"This is my 2nd pair. Love them. Sturdy, great support, Hugs my foot. Good for walking but doesnt look orthopedic.",Great support,5.0,B00009ZM91
"I love these shoes. I would like to highlight how perfect these are for business casual dress jobs. I'm someone who prefers to remain functionally dressed, so flats and heels are a no go. These look great with a pair of slacks, and are incredibly comfortable and supportive with an awesome tread that allows you to keep moving.",All around awesome,5.0,B00009ZM91
"I have wide feet, most often a 7 wide or 71/2 B will fit. The 71/2 in this shoe is an excellent fit. Such a good fit that I am a bit worried about stretching over time. However, for now my feet are dancing.",Instant comfort,5.0,B00009ZM91
BEST SHOE EVER,Five Stars,5.0,B00009ZM91
I love these shoes.  They are extremely comfortable and provide the support I need for my high arch.  I feel like I can zip around without risking a fall.  They are light weight too considering the beefy tread.  One of the best Merrell shoes I have purchased in a long time!,Perfect Shoe for Comfort and Support on Your Feet,5.0,B00009ZM91
I love these.  They fit just like the 20 year old red pair that I continue to wear.,Love the fit!,5.0,B00009ZM91
Always just what I need. You can dress them up or down. Always perfect.,These are my always right shoes!,5.0,B00009ZM91
Love these!  I work on concrete and wanted a shoe that was comfortable all day.  These are perfect!,Love these! I work on concrete and wanted a ...,5.0,B00009ZM91
Could walk for miles in these.,Five Stars,5.0,B00009ZM91
"LOVE these Merrells.
I have tendinitis in my right Achilles ankle.  These shoes are comfortable and don't aggravate the ankle.",Comfortable Shoe - WOULD Recommend to a friend <;0),4.0,B00009ZM91
Love them fits GREAT,Five Stars,5.0,B00009ZM91
"However, the shoe started to fall apart in about 6 months. Even though they were not that expensive. Will not purchase them in the future.",Likes that you can interchange the color stripes on the sides of the shoes.,2.0,B0000A4FD7
"Ordered for my daughters middle school cheer team shoes fit perfect.  She only 8 but her feet are size adult 8, hard to find little girl shoes that fit like they are suppose too.",Happy Cheer Girl!!!,5.0,B0000A4FD7
Glad that the other reviews said to order larger.  I ordered a 7 1/2 instead of the usual 6 and they fit great!,Glad that the other reviews said to order larger.  I ordered a 7 1/2 instead of the usual 6 and they fit great!,5.0,B0000A4FD7
"They were not the shoes I thought, I have purchased another pair and these were not the same style. The fit is definitely different. Disappointed.",cheering shoes,2.0,B0000A4FD7
"Liked the sneakers, they were for my daugher who uses them to cheerlead in and she said that they were very comfortable.  The price was right and I'm glad i was able to find them and purchase them.",Good product,4.0,B0000A4FD7
"Had a hard time finding white shoes locally for my daughter's cheerleading uniform.  Finally found this shoe on Amazon.com.  One of the reviews mentioned the sizes ran small, so I ordered about a size and a half bigger than usually and it worked for my daughter.  Shoes held up well for the football season.",Daughter's cheerleading shoes,4.0,B0000A4FD7
We had ordered it .it came fast and was exactly what we ordered. Fit well nice product happy with them.,New shoes were great,5.0,B0000A4FD7
"The part the makes to shoes ""cute"" is the interchangeable color slides that go on the sides of the shoe. I bought thoes for my 9 year old for cheerleading and had to order a womens 6 because they run small. The shoes are not leather and cheaply made. She has wore them 3 weeks and they are falling apart!!",poor quality,2.0,B0000A4FD7
"Love these shoes.  This is my second pair.  I have wide feet and these shoes were comfortable from day one.  I didn't have to ""break them in"" like I usually do with any new shoes I get.  The only problem I found with them is the laces could be a bit longer, but that is a minor thing compared to the comfort.  I stand all day at my job and good shoes are very important in how your legs feel by the end of six hours.",Just right.,4.0,B0000A51F0
"Just love this shoe.  Not exactly the same as the old school but the changes are more comfortable.  Visually, its just a slightly thicker sole.  I highly recommend getting them.",Nothing beats the classics,5.0,B0000A51F0
"I have purchased this shoe in the past so I knew how they would fit and feel.  When I recently went to the store to buy a new pair, they didn't have my size.  So, instead of wasting gas driving all around, I went home and looked for them online.  There were several websites that had this shoe in my size but Amazon had the best value - price and shipping. Also, after I made the purchase, the item was received quickly.  I will buy these shoes from Amazon in the future.  It's much easier and more efficient!",Love K-Swiss,5.0,B0000A51F0
"The heels of this shoe were rubbing my heel very uncomfortably but perfect other than that not anything seller could have done diffrently, would order from seller again. Thanks",on time came brand new just as picture and ad described,4.0,B0000A51F0
I don't have to worry about cleaning them. I just put a little polish on them and they are good to go!!,Great shoes.,5.0,B0000A51F0
"My son loves K Swiss, it's what I have always known him to wear, so when he sent me a gift card I thought I would try a pair. The shoes looked great when they arrived but the first time I wore them which was to a meeting, I notice they hurt my heels.  I was shocked to also find that my heals were bleeding.  I did get to return them which I am grateful.",Brand name and looks can be deceptive,2.0,B0000A51F0
"Received the product in great shape and it was exactly what I ordered but I thought that the delivery was a little slow.
Merry Christmas",kswiss shoes,5.0,B0000A51F0
Absolutely love these have been my favorite shoes since I can remember first time buying them off Amazon I wear a size 7 and a half and they fit perfect,True to size,5.0,B0000A51F0
I'm trying to buy these Kswiss in a 9 and they keep coming up 9XW...I bought these once already & im sending them back because they're a 9XW..Feeling frustrated,I'm trying to buy these Kswiss in a 9 and ...,2.0,B0000A51F0
"I love, love, love these shoes but cannot locate any more exactly like them!",Five Stars,5.0,B0000A51F0
"I love these classic lace -ups I got the new pair to make sure I have a  pair to wear as the present one is almost worn out. This Women's Classic Lace-up shoe I have been wearing it for 40 years.....the style of it has been virtually the same giving me upper part of the shoe so much support, the insole is so cushy, shoe itself is so light and most of all I can wear it without breaking it in.",For great tennis,5.0,B0000A51F0
Love these shoes!,Four Stars,4.0,B0000A51F0
Love K-Swiss shoes!,Five Stars,5.0,B0000A51F0
I love these shoes and always have!!,Five Stars,5.0,B0000A51F0
Long time favorite K-Swiss shoe user.,Five Stars,5.0,B0000A51F0
"Good fit, classy look, love these shoes",Five Stars,5.0,B0000A51F0
Shoe was too narrow for me.,Narrow,4.0,B0000A51F0
my fav.,Five Stars,5.0,B0000A51F0
Purchased these for my mother and they were exactly what she wanted and expected. She wore them everywhere. Kinda on the flat side but she said they were comfortable. Would purchase again!,Kinda on the flat side but she said they were comfortable. Would purchase again,4.0,B0000A51F0
"Love these shoes, an old throwback that is having another great fashion moment.  These Kswiss are super comfortable and can easily be worn walking all around town, far more comfy than Chucks.  4 stars because they do run a bit big, as I believe it is just a larger cut shoe.  I normally wear and 8 and occasionally an 8.5.  I got an 8 in these and wish I would have gotten a 7,5",Love these shoes,4.0,B0000A51F0
"Bought this [Black, 6B(M)] for my mother because she loves K-Swiss shoes. The shoes were good quality and lightweight! However, the top of the shoe (toe area) ran a bit narrow, so while the rest of the shoe was comfortable, she could not wear it for long because it hurt her toes. There weren't any left in size 6 E unfortunately; however, I'd recommend getting a wide size shoe if your feet are a bit on the wide side.

Pros:
* Lightweight (great for wearing to work that requires a lot of walking or standing)
* Comfortable (if in the correct size)
* Good quality, durable

Cons:
* May run a bit narrow at the toe region (different for everyone though)",Good quality and Lightweight,4.0,B0000A51F0
"These are not the K-Swiss's I'm used to. The classics that I love have always been soooooo soft and comfortable. I just can't find them in stores anymore. I've always worn them in this size and these feel NOTHING like the classics I love. These have like no padding. I'm young and i can handle it, but not at all what I was expecting. I also fit into a boys size and these feel like the boys classics. Same look, but different amount of cushioning and slightly wide. These shoes are also stiffer than the K-Swiss's I'm used to. I would not recommend to anyone.","If you've ever worn a pair of real K-Swiss classics, you'll be disappointed in these",2.0,B0000A51F0
nice work shoes!,Five Stars,5.0,B0000A51F0
will always buy this product,Five Stars,5.0,B0000A51F0
"I love K-Swiss, and of course the classic white K-Swiss tennis shoe is a must have in any women's closet. I'm so afraid to wear these sometimes because I don't want to get them dirty, other then that, I love them. Very comfortable and super sleek. Classic in every sense of the word. Goes with practically any outfit. Cute with a dress and jean jacket, or jeans and a t-shirt. Love my K-Swiss.",Love my K-Swiss,5.0,B0000A51F0
Classic Sneakers.,Five Stars,5.0,B0000A51F0
"An overall great shoe.  My only complaint would be they are not as soft as K-swiss made them about 10 years ago.  I like K-swiss, I have flat feet and bunions, but could still wear these all day.  I have worn K-swiss shoes for about 20 years.  I would recommend owning a least one pair for everyone.",A nice fit and classic style,4.0,B0000A51F0
They are beautiful shoes but they squeak when you walk.,Two Stars,2.0,B0000A51F0
GREAT I LOVE THEM,Five Stars,5.0,B0000A51F0
"Fast shipping, looks great!",looks great!,4.0,B0000A51F0
Great Buy . thanks,Four Stars,4.0,B0000A51F0
Did not realise I had ordered extra wide otherwise 91/2 normal would be OK,Four Stars,4.0,B0000A51F0
I have worn k-Swiss for years and love the comfort and support,Five Stars,5.0,B0000A51F0
A little big. I ordered wide but regular would suffice.,Four Stars,4.0,B0000A51F0
I have been wearing this same shoe for years.  This is the first time I ordered them online and didn't know the difference between some of the lettering in the size chart.  I got what I thought I would need.  They are a little bit too wide but not terrible and since I only wear them in winter I know I can wear thick socks with them and all will be great.  It is my opinion that these shoes are made very well and they last a long time before I have to replace them.  If I ever found out they would be retired I would buy several pair to hopefully last me the rest of my life.  Do you get that I love these shoes?  lol,Best Shoes ever!,5.0,B0000A51F0
Cool throwbacks.,Four Stars,4.0,B0000A51F0
Have worn  this style for years.,Have worn this style for years.,5.0,B0000A51F0
These shoes are great.,Five Stars,5.0,B0000A51F0
"Ideal for school, would definitely continue buying them",Five Stars,5.0,B0000A51F0
Love them thank you,Perfect,5.0,B0000A51F0
Sparkling white! Used like new couldn't have been any better. I love my K-Swiss! Classic and always looks good no matter what they're worn with.,Super duper!,5.0,B0000A51F0
Too small...returned.,One Star,1.0,B0000A51F0
